site;title;link;
Globo;McGregor faz arremesso bizarro em jogo de beisebol e vira piada, veja;"https://ge.globo.com/combate/noticia/conor-mcgregor-faz-arremesso-bizarro-na-abertura-de-jogo-de-beisebol-em-chicago-confira.ghtml";
Globo;Piovani elogia Dicker e rebate comentário sobre Anitta: 'Parem de culpar a mulher';"https://revistaquem.globo.com/QUEM-News/noticia/2021/09/luana-piovani-posta-pedro-scooby-e-cintia-dicker-e-nega-que-problema-era-anitta.html";
Globo;Cleo curte viagem às Maldivas com marido e amigos: 'Apaixonada por esse lugar';"https://revistaquem.globo.com/QUEM-News/noticia/2021/09/cleo-curte-viagem-maldivas-com-marido.html";
Globo;Celina Locks se declara para Ronaldo no dia do aniversário do craque;"https://revistaglamour.globo.com/Celebridades/noticia/2021/09/celina-locks-homenageia-ronaldo-feliz-aniversario-momo.html";
Globo;Decidida a não ser mãe, Thalita Rebouças relata pressão forte e comentários maldosos;"https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2021/09/thalita-reboucas-fala-da-estreia-de-novo-filme-e-da-decisao-de-nao-ter-filhos.html?utm_source=globo.com&utm_medium=oglobo";
Globo;'Bati no fundo do poço e voltei', diz Laura Keller sobre separação no 3º mês do filho;"https://revistaquem.globo.com/Entrevista/noticia/2021/09/laura-keller-fala-sobre-autoestima-apos-maternidade-e-separacao-bati-no-fundo-do-poco-e-voltei.html";
Globo;Sasha celebra 4 meses de casamento em viagem romântica à Espanha, veja hotel;"https://revistaglamour.globo.com/Celebridades/noticia/2021/09/sasha-meneghel-e-joao-figueiredo-celebram-quatro-meses-de-casados.html";
Globo;Thaila Ayala chora de medo após ver documentário sobre parto: 'Não quero, não';"https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2021/09/thaila-ayla-chora-de-medo-apos-ver-documentario-sobre-parto-nao-quero-nao.html?utm_source=globo.com&utm_medium=oglobo";
Globo;Fabiula Nascimento ganha carinho de Emílio Dantas na barriga: 'Galera no pré-natal';"https://revistaquem.globo.com/QUEM-News/noticia/2021/09/gravida-de-gemeos-fabiula-nascimento-ganha-carinho-de-emilio-dantas-em-barriga.html";
Globo;Felipe Titto diz que meta é ter fortuna de US$ 50 mi: 'Vou me dar ao luxo de desacelerar';"https://extra.globo.com/economia/financas/ja-milionario-felipe-titto-diz-que-meta-ter-fortuna-de-us-50-milhoes-vou-me-dar-ao-luxo-de-desacelerar-25206885.html";
Globo;Lore Improta e Léo Santana fazem tour pelo quartinho da filha, Liz, assista;"https://revistaquem.globo.com/Casa-dos-Famosos/noticia/2021/09/lore-improta-e-leo-santana-fazem-tour-pelo-quartinho-da-filha-liz.html";
Globo;Palmeiras e Galo empatam 1º jogo pela semi da Libertadores, veja melhores momentos;"https://ge.globo.com/video/melhores-momentos-palmeiras-0-x-0-atletico-mg-pela-semifinal-da-libertadores-9880560.ghtml";
Globo;Dudu é substituído por Wesley aos 20min do 2º tempo e sai irritado;"https://ge.globo.com/video/dudu-e-substituido-por-wesley-aos-20-minutos-do-2o-tempo-e-deixa-o-campo-irritado-9880566.ghtml";
Globo;'Faltou o time do Palmeiras querer jogar', veja repercussão do 0-0;"https://ge.globo.com/futebol/voz-da-torcida/video/a-voz-da-torcida-leandro-bocca-faltou-o-time-do-palmeiras-querer-jogar-9880530.ghtml";
Globo;Repórter toma um banho do sistema de irrigação em jogo do Náutico;"https://ge.globo.com/futebol/video/que-situacao-reporter-juan-torres-toma-um-banho-do-sistema-de-irrigacao-dos-aflitos-antes-de-nautico-x-londrina-9880207.ghtml";
Globo;Guarani bate o Remo e segue firme na luta pelo G-4 da Série B;"https://ge.globo.com/futebol/video/melhores-momentos-guarani-2-x-0-remo-pela-25a-rodada-do-campeonato-brasileiro-serie-b-9879291.ghtml";
Globo;Drone flagra momento em que lava de vulcão atinge piscina na Espanha;"https://g1.globo.com/mundo/video/drone-flagra-momento-em-que-lava-de-vulcao-atinge-piscina-em-la-palma-na-espanha-9877567.ghtml";
Globo;5 momentos de machismo durante a CPI da Covid;"https://g1.globo.com/politica/video/5-momentos-de-machismo-na-cpi-da-covid-9880185.ghtml";
Globo;Ministro chama Simone Tebet de 'descontrolada', senadores reagem;"https://g1.globo.com/politica/video/descontrolada-moleque-troca-de-ofensas-entre-tebet-e-rosario-gera-confusao-na-cpi-9879062.ghtml";
Globo;Vídeo mostra 'altinha' na interdição da ponte Rio-Niterói por vendaval;"https://g1.globo.com/rj/rio-de-janeiro/video/video-mostra-grupo-jogando-futebol-na-ponte-rio-niteroi-durante-o-vendaval-9879133.ghtml";
Globo;Vídeo mostra ataque de abelhas que deixou homem com 200 ferrões;"https://g1.globo.com/mg/minas-gerais/video/video-mostra-ataque-de-abelhas-que-deixou-homem-com-200-ferroes-9877529.ghtml";
Globo;Novo jogo de Pokémon grátis chega hoje para celular;"https://www.techtudo.com.br/stories/2021/09/22/pokemon-unite-e-lancado-para-celular-android-e-iphone-ios.ghtml";
Globo;iOS 15: como usar a nova função do iPhone para copiar texto de foto;"https://www.techtudo.com.br/dicas-e-tutoriais/2021/09/ios-15-como-copiar-texto-de-foto-com-a-funcao-live-text-do-iphone.ghtml";
Globo;Como a ansiedade de estar longe do celular não é um problema individual;"https://epocanegocios.globo.com/Tecnologia/noticia/2021/09/nomofobia-como-ansiedade-de-estar-longe-do-celular-e-um-problema-social-e-individual.html";
Globo;Brasileiros caem no grupo com LNG e Infinity para o Worlds 2021 de LoL;"https://ge.globo.com/esports/lol/noticia/worlds-2021-red-canids-fica-no-grupo-de-lng-e-infinity.ghtml";
Globo;Alegre o ambiente com essas 5 plantas ideais para cultivar na época mais florida do ano;"https://casavogue.globo.com/Smart/noticia/2021/09/5-plantas-ideais-para-cultivar-na-primavera.html";
Globo;Confira as frutas típicas da estação para se alimentar bem sem pesar no bolso;"https://ge.globo.com/eu-atleta/noticia/primavera-veja-lista-com-10-frutas-da-estacao.ghtml";
Globo;Relembre 23 modelos de buquês das novelas para fazer bonito no seu casamento;"https://gshow.globo.com/novelas/stories/2021/09/22/na-primavera-confira-23-modelos-de-buques-de-noiva-das-novelas-para-copiar.ghtml";
Globo;Mães são as que mais sofrem impacto psicológico e financeiro na pandemia;"https://valorinveste.globo.com/objetivo/empreenda-se/noticia/2021/09/22/maes-estao-exaustas-e-sao-as-que-mais-sofrem-impacto-psicologico-e-financeiro-na-pandemia.ghtml";
Globo;Músculos bem exercitados ajudam a prevenir e controlar doenças;"https://oglobo.globo.com/saude/medicina/musculos-bem-exercitados-liberam-substancias-que-ajudam-prevenir-controlar-demencias-canceres-inflamacoes-25207424?utm_source=globo.com&utm_medium=oglobo";
Globo;Confira dicas de como cuidar da saúde física e mental durante a Primavera;"https://revistaglamour.globo.com/Lifestyle/noticia/2021/09/como-cuidar-da-saude-na-primavera.html";
Globo;Ronaldo Fenômeno faz 45 anos: conheça curiosidades do ex-jogador;"https://gshow.globo.com/Famosos/noticia/ronaldo-fenomeno-faz-45-anos-saiba-curiosidades-do-ex-jogador-e-relembre-participacoes-na-tv.ghtml";
Globo;Mari Saad dá dica para make perfeita na primavera, veja o vídeo;"https://gshow.globo.com/moda-e-beleza/noticia/mari-saad-da-dica-para-make-perfeita-na-primavera-video-traz-passo-a-passo-pratico.ghtml";
Globo;Sucesso nas redes, Pequena Lô revela sonho: 'Ter meu próprio programa';"https://gshow.globo.com/Famosos/noticia/pequena-lo-reforca-autoestima-mesmo-sendo-mulher-com-deficiencia-tenho-talento-beleza-e-me-aceito.ghtml";
Globo;Gabriela Medvedovski exalta amizade com Mariana Ximenes: 'Irmã mais velha';"https://gshow.globo.com/novelas/nos-tempos-do-imperador/noticia/gabriela-medvedovski-exalta-amizade-com-mariana-ximenes-irma-mais-velha.ghtml";
Globo;Conheça a maior reserva de biodiversidade marinha do Atlântico Sul: Abrolhos, na Bahia;"https://globoplay.globo.com/v/8515446/programa/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=franjal-card1&utm_term=maisnatela-brasilvistodecima";
Globo;Diretores apresentam seus pontos de vista sobre o que é o cinema;"https://globoplay.globo.com/janelas-abertas/t/pDWFFbRNrj/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=franjal-card2&utm_term=canalbrasil-janelasabertas";
Globo;Novos episódios de Os Roni, com Gkay, Whindersson, Tirullipa e Carlinhos Maia;"https://globoplay.globo.com/os-roni/t/Wdz8m5ckwk/temporadas/4/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=franjal-card3&utm_term=multishow-osroni";
Globo;Ministro chama senadora de 'descontrolada', gera tumulto e se torna investigado pela CPI;"http://g1.globo.com/politica/cpi-da-covid/noticia/2021/09/21/ministro-chama-senadora-de-descontrolada-gera-tumulto-e-cpi-suspende-reuniao.ghtml";
Globo;Corpo encontrado é da blogueira Gabby Petito, confirma advogado da família;"http://revistaglamour.globo.com/Lifestyle/Must-Share/noticia/2021/09/advogado-confirma-que-corpo-encontrado-e-de-gabby-petito.html";
Globo;Queiroga é diagnosticado com Covid-19 e permanecerá em quarentena em Nova York;"http://g1.globo.com/politica/noticia/2021/09/21/queiroga-e-diagnosticado-com-covid-19-e-permanecera-em-quarentena-em-nova-york.ghtml";
Globo;'Não vacinado' e 'provocador': imprensa internacional repercute falas de Bolsonaro;"http://oglobo.globo.com/mundo/nao-vacinado-controverso-provocador-imprensa-internacional-repercute-discurso-de-bolsonaro-na-onu-25206544?utm_source=globo.com&utm_medium=oglobo";
Globo;Estelionatária finge ser herdeira milionária e dá golpes de mais de R$ 10 milhões;"http://g1.globo.com/pa/para/noticia/2021/09/21/estelionataria-se-passa-por-herdeira-milionaria-no-para-e-aplica-golpes-de-mais-de-r-10-milhoes.ghtml";
Globo;Palmeiras e Atlético-MG empatam ida da semi da Libertadores, Hulk perde pênalti;"http://ge.globo.com/sp/futebol/libertadores/jogo/21-09-2021/palmeiras-atletico-mg.ghtml";
Globo;MC Livinho tropeça em drible, perde a bola e entrega gol em derrota do São Caetano;"http://ge.globo.com/sp/tem-esporte/futebol/noticia/mc-livinho-tropeca-ao-tentar-drible-perde-a-bola-e-entrega-gol-em-derrota-do-sao-caetano-video.ghtml";
Globo;Daniel Alves tem rescisão publicada e está livre para assinar com outro clube;"http://ge.globo.com/futebol/times/sao-paulo/noticia/noticias-spfc-sao-paulo-daniel-alves-rescisao-bid-livre-mercado.ghtml";
Globo;David Luiz é relacionado no Fla e será titular contra o Barcelona de Guayaquil;"http://ge.globo.com/futebol/times/flamengo/noticia/escalacao-do-flamengo-david-luiz-e-relacionado-e-pode-fazer-estreia-contra-o-barcelona-de-guayaquil.ghtml";
Globo;Santos já tem mais chances de cair do que o Grêmio, veja probabilidades do seu time;"http://oglobo.globo.com/esportes/futebol/com-315-santos-ja-tem-mais-chances-de-cair-do-que-gremio-veja-probabilidades-do-seu-time-25206924?utm_source=globo.com&utm_medium=oglobo";
Globo;Após perfil em site adulto, ex-Malhação chora e pede para pararem de vê-lo como objeto;"http://revistaquem.globo.com/QUEM-News/noticia/2021/09/ex-malhacao-que-criou-perfil-no-onlyfans-chora-e-pede-para-pararem-de-o-ver-como-objeto.html";
Globo;Paloma Duarte posa nua para fotógrafa e divide clique com os fãs;"http://revistaglamour.globo.com/Celebridades/noticia/2021/09/paloma-duarte-divide-clique-poderoso-nas-redes.html";
Globo;Livia Andrade fala sobre acompanhar namorado em teste de DNA: 'Normal';"http://revistaquem.globo.com/QUEM-News/noticia/2021/09/livia-andrade-fala-sobre-acompanhar-namorado-em-teste-de-dna-normal.html";
Globo;Cleo surge poderosa com vestido recortado e fãs elogiam: 'Gatona';"http://revistamarieclaire.globo.com/Celebridades/noticia/2021/09/cleo-surge-poderosa-em-vestido-recortado-e-fas-piram-maravilhosa.html";
Globo;Veja 9 famosos que começaram em realities e talvez você não saiba;"http://gshow.globo.com/Famosos/stories/2021/09/21/9-famosos-que-comecaram-em-realities-e-talvez-voce-nao-saiba.ghtml";
Uol;Hospital da Prevent escondeu morte do médico Anthony Wong por covid-19;"https://piaui.folha.uol.com.br/morte-em-segredo/";
Uol;Queiroga com covid: Anvisa recomenda isolamento de toda comitiva de Bolsonaro;"https://www1.folha.uol.com.br/poder/2021/09/anvisa-recomenda-isolamento-de-comitiva-de-bolsonaro-apos-infeccao-de-queiroga.shtml";
Uol;Bolsonaro ignorou Itamaraty e ouviu filhos e ala radical para elaborar discurso;"https://noticias.uol.com.br/colunas/jamil-chade/2021/09/22/itamaraty-foi-atropelado-por-filhos-de-bolsonaro-e-ala-radical-na-onu.htm";
Uol;Anvisa determina recolhimento de lotes interditados da CoronaVac;"https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/22/anvisa-recolhimento-lotes-interditados-coronavac.htm";
Uol;Chinesa Evergrande anuncia acordo para evitar calote de título importante;"https://economia.uol.com.br/noticias/afp/2021/09/22/grupo-chines-evergrande-anuncia-acordo-para-evitar-calote-de-titulo-importante.htm";
Uol;Em sigilo, TJ do RJ aprova pagar adicional em salários de magistrados;"https://noticias.uol.com.br/politica/ultimas-noticias/2021/09/22/sigilo-tjrj-pagamento-adicional-tempo-servico-retroativo-magistrados-mprj.htm";
Uol;Resultado que leva Palmeiras à final da Libertadores é comum com Abel, veja;"https://www.uol.com.br/esporte/futebol/ultimas-noticias/2021/09/22/resultado-que-leva-palmeiras-a-final-da-libertadores-e-comum-com-abel-veja.htm";
Uol;Temendo apagão, governo antecipa operação de novas usinas, diz jornal;"https://economia.uol.com.br/noticias/redacao/2021/09/22/crise-hidrica-temor-apagadao-novas-usinas-linhas-transmissao.htm";
Uol;Da Cunha inventou prisão de chefe do PCC e simulou ações, dizem policiais;"https://www1.folha.uol.com.br/cotidiano/2021/09/da-cunha-inventou-prisao-de-chefe-do-pcc-e-simulou-operacoes-dizem-policiais.shtml";
Uol;STF tende a abolir turmas e centrar julgamentos no sistema virtual;"https://noticias.uol.com.br/colunas/carolina-brigido/2021/09/22/stf-abolir-turmas-centrar-julgamentos-sistema-virtual.htm";
Uol;Até 13 km/l: veja o consumo dos 5 SUVs mais baratos do país;"https://www.uol.com.br/carros/listas/para-economizar-confira-o-consumo-dos-5-suvs-mais-baratos-do-brasil.htm";
Uol;Entenda o caso: perícia confirma que Gabby Petito foi assassinada;"https://tvefamosos.uol.com.br/noticias/redacao/2021/09/22/gabby-petito-misterioso-caso-assassinato.htm";
Uol;Israel teria usado drone com metralhadora e IA para matar cientista do Irã, diz NYT;"https://www.uol.com.br/tilt/noticias/redacao/2021/09/22/como-israel-utilizou-ia-para-matar-o-maior-cientista-nuclear-do-ira.htm";
Uol;Mulher é presa por suspeita de golpe de R$ 15 mi em vendas de imóveis e avião;"https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/09/21/mulher-e-presa-por-vender-e-nao-entregar-r-15-milhoes-em-aviao-e-imoveis.htm";
Uol;Justiça manda cidade indenizar crianças de 1 a 3 anos vacinadas contra covid por engano;"https://noticias.uol.com.br/colunas/rogerio-gentile/2021/09/22/justica-manda-cidade-indenizar-criancas-vacinadas-contra-covid-por-engano.htm";
Uol;Mães contam mudanças emocionais após terem seus filhos;"https://www.uol.com.br/universa/noticias/redacao/2021/09/22/mais-paciencia-culpa-e-forca-maes-contam-mudancas-emocionais-apos-filhos.htm";
Uol;Por que falar sobre o machismo na ciência causa tanto incômodo;"https://www.uol.com.br/ecoa/colunas/opiniao/2021/09/22/por-que-falar-sobre-o-machismo-na-ciencia-causa-tanto-incomodo.htm";
Uol;CasaCor 2021: o que está em alta na mostra de arquitetura e décor;"https://www.uol.com.br/nossa/noticias/redacao/2021/09/22/casacor-sp-2021-confira-o-que-esta-em-alta-nesta-edicao.htm";
Uol;Avião solta chamas por motor após colisão com pássaro, qual o risco?;"https://economia.uol.com.br/todos-a-bordo/2021/09/22/aviao-chama-labareda-decolagem-congonhas-aeronave-bird-strike-passaros.htm";
Uol;Quantos quilos é normal nosso peso variar em um dia?;"https://www.uol.com.br/vivabem/colunas/paola-machado/2021/09/22/a-flutuacao-do-seu-peso-e-normal.htm";
Uol;Max e Lewis estão pendurados com motores, mas vivem situações diferentes;"https://www.uol.com.br/esporte/colunas/pole-position/2021/09/22/max-e-lewis-estao-pendurados-com-motores-mas-vivem-situacoes-diferentes.htm";
Uol;Merval Pereira: Petistas e bolsonaristas querem controlar a informação Leia e assista;"https://noticias.uol.com.br/politica/ultimas-noticias/2021/09/21/bolsonaristas-e-petistas-querem-controlar-a-informacao-diz-merval-pereira.htm";
Uol;Briga judicial entre Globo e Ferj pode travar proposta pelo PPV do Carioca;"https://www.uol.com.br/esporte/futebol/ultimas-noticias/2021/09/22/briga-judicial-entre-globo-e-ferj-pode-travar-proposta-pelo-ppv-do-carioca.htm";
Uol;Existe mesmo uma tática possível para ganhar na loteria? A ciência explica;"https://www.uol.com.br/tilt/noticias/redacao/2021/09/22/existe-mesmo-uma-tatica-possivel-para-ganhar-na-loteria.htm";
